time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,941,71,213,0.2,0.00036148954677628353,0.00015223534137476236,0.0,0.0,-5.420297419789222e-08,0.0,0.0,700,0.0003,20.333333333333332,261.6666666666667
0,942,72,216,0.2,0.0003407190437428653,0.00014434591867029667,0.0,0.0,5.3147477174775305e-08,0.0,0.0,710,0.0003,20.333333333333332,261.6666666666667
0,944,73,219,0.2,0.000321123100729892,0.0001367283839499578,0.0,0.0,4.849086288061244e-08,0.0,0.0,720,0.0003,20.333333333333332,261.6666666666667
0,946,74,222,0.2,0.0003026540878636297,0.0001295971596846357,0.0,0.0,9.437401260470323e-09,0.0,0.0,730,0.0003,20.333333333333332,261.6666666666667
0,947,75,225,0.2,0.0002852423000149429,0.0001226565073011443,0.0,0.0,-6.10947630264036e-08,0.0,0.0,740,0.0003,20.333333333333332,261.6666666666667
0,949,76,228,0.2,0.0002688226741156541,0.00011604808969423175,0.0,0.0,-6.401290733037968e-08,0.0,0.0,750,0.0003,20.333333333333332,261.6666666666667
0,951,77,231,0.2,0.0002533464634325355,0.00011023374827345833,0.0,0.0,1.5397867159094857e-08,0.0,1.1920928955078125e-07,760,0.0003,20.333333333333332,261.6666666666667
0,953,78,234,0.2,0.000238758024352137,0.00010438736353535205,0.0,0.0,-7.152557515155423e-08,0.0,0.0,770,0.0003,20.333333333333332,261.6666666666667
0,954,79,237,0.2,0.00022501007188111544,9.865846368484199e-05,0.0,0.0,-3.3030908852538235e-08,0.0,0.0,780,0.0003,20.333333333333332,261.6666666666667
0,956,80,240,0.2,0.00021204474251135252,9.381474956171587e-05,0.0,0.0,3.129243957289418e-08,0.0,0.0,790,0.0003,20.333333333333332,261.6666666666667
0,958,81,243,0.2,0.00019982117592007854,8.878760127117857e-05,0.0,0.0,-7.97212152292559e-08,0.0,0.0,800,0.0003,20.333333333333332,261.6666666666667
0,960,82,246,0.2,0.00018830069529940374,8.413021714659408e-05,0.0,0.0,-7.649263054076982e-08,0.0,0.0,810,0.0003,20.333333333333332,261.6666666666667
0,961,83,249,0.2,0.00017743513963068834,7.964405813254416e-05,0.0,0.0,-1.2169281831120317e-07,0.0,0.0,820,0.0003,20.333333333333332,261.6666666666667
0,963,84,252,0.2,0.0001671983136475319,7.550865120720118e-05,0.0,0.0,1.3845664526002111e-08,0.0,1.1920928955078125e-07,830,0.0003,20.333333333333332,261.6666666666667
0,970,85,255,0.2,0.00015754376727272756,7.172025652835146e-05,0.0,0.0,2.676000505630327e-08,0.0,0.0,840,0.0003,20.333333333333332,261.6666666666667
0,972,86,258,0.2,0.00014880608941894024,-0.05962332710623741,-0.6466814756393433,0.0062190495,-0.028059490405333776,0.0,0.0,850,0.0003,20.333333333333332,261.6666666666667
0,973,87,261,0.2,0.00013925703133281785,6.594508158741519e-05,0.0,0.0,-2.2848447400747318e-07,0.0,0.0,860,0.0003,20.333333333333332,261.6666666666667
